"Id","ActivityDate","Hour","StepTotal"
4702921684,2016-04-24,"f-AM5",0
4702921684,2016-04-24,"g-AM6",23
4702921684,2016-04-24,"h-AM7",214
4702921684,2016-04-24,"i-AM8",272
4702921684,2016-04-24,"j-AM9",684
4702921684,2016-04-24,"k-AM10",864
4702921684,2016-04-24,"l-AM11",490
4702921684,2016-04-24,"m-PM12",3023
4702921684,2016-04-24,"n-PM1",3962
4702921684,2016-04-24,"o-PM2",1248
4702921684,2016-04-24,"p-PM3",102
4702921684,2016-04-24,"q-PM4",9
4702921684,2016-04-24,"r-PM5",574
4702921684,2016-04-24,"s-PM6",1726
4702921684,2016-04-24,"t-PM7",1045
4702921684,2016-04-24,"u-PM8",554
4702921684,2016-04-24,"v-PM9",132
4702921684,2016-04-24,"w-PM10",124
4702921684,2016-04-24,"x-PM11",0
4702921684,2016-04-25,"a-AM12",0
4702921684,2016-04-25,"b-AM1",0
4702921684,2016-04-25,"c-AM2",0
4702921684,2016-04-25,"d-AM3",0
4702921684,2016-04-25,"e-AM4",0
4702921684,2016-04-25,"f-AM5",162
4702921684,2016-04-25,"g-AM6",719
4702921684,2016-04-25,"h-AM7",249
4702921684,2016-04-25,"i-AM8",161
4702921684,2016-04-25,"j-AM9",15
4702921684,2016-04-25,"k-AM10",203
4702921684,2016-04-25,"l-AM11",157
4702921684,2016-04-25,"m-PM12",149
4702921684,2016-04-25,"n-PM1",273
4702921684,2016-04-25,"o-PM2",248
4702921684,2016-04-25,"p-PM3",209
4702921684,2016-04-25,"q-PM4",182
4702921684,2016-04-25,"r-PM5",1087
4702921684,2016-04-25,"s-PM6",577
4702921684,2016-04-25,"t-PM7",2019
4702921684,2016-04-25,"u-PM8",691
4702921684,2016-04-25,"v-PM9",1395
4702921684,2016-04-25,"w-PM10",644
4702921684,2016-04-25,"x-PM11",0
4702921684,2016-04-26,"a-AM12",0
4702921684,2016-04-26,"b-AM1",0
4702921684,2016-04-26,"c-AM2",0
4702921684,2016-04-26,"d-AM3",0
4702921684,2016-04-26,"e-AM4",0
4702921684,2016-04-26,"f-AM5",57
4702921684,2016-04-26,"g-AM6",924
4702921684,2016-04-26,"h-AM7",263
4702921684,2016-04-26,"i-AM8",0
4702921684,2016-04-26,"j-AM9",0
4702921684,2016-04-26,"k-AM10",0
4702921684,2016-04-26,"l-AM11",155
4702921684,2016-04-26,"m-PM12",286
4702921684,2016-04-26,"n-PM1",86
4702921684,2016-04-26,"o-PM2",241
4702921684,2016-04-26,"p-PM3",131
4702921684,2016-04-26,"q-PM4",31
4702921684,2016-04-26,"r-PM5",974
4702921684,2016-04-26,"s-PM6",936
4702921684,2016-04-26,"t-PM7",741
4702921684,2016-04-26,"u-PM8",505
4702921684,2016-04-26,"v-PM9",606
4702921684,2016-04-26,"w-PM10",172
4702921684,2016-04-26,"x-PM11",0
4702921684,2016-04-27,"a-AM12",0
4702921684,2016-04-27,"b-AM1",0
4702921684,2016-04-27,"c-AM2",0
4702921684,2016-04-27,"d-AM3",0
4702921684,2016-04-27,"e-AM4",0
4702921684,2016-04-27,"f-AM5",36
4702921684,2016-04-27,"g-AM6",1249
4702921684,2016-04-27,"h-AM7",432
4702921684,2016-04-27,"i-AM8",64
4702921684,2016-04-27,"j-AM9",40
4702921684,2016-04-27,"k-AM10",144
4702921684,2016-04-27,"l-AM11",158
4702921684,2016-04-27,"m-PM12",226
4702921684,2016-04-27,"n-PM1",130
4702921684,2016-04-27,"o-PM2",103
4702921684,2016-04-27,"p-PM3",205
4702921684,2016-04-27,"q-PM4",268
4702921684,2016-04-27,"r-PM5",529
4702921684,2016-04-27,"s-PM6",594
4702921684,2016-04-27,"t-PM7",375
4702921684,2016-04-27,"u-PM8",1649
4702921684,2016-04-27,"v-PM9",686
4702921684,2016-04-27,"w-PM10",88
4702921684,2016-04-27,"x-PM11",0
4702921684,2016-04-28,"a-AM12",0
4702921684,2016-04-28,"b-AM1",0
4702921684,2016-04-28,"c-AM2",0
4702921684,2016-04-28,"d-AM3",0
4702921684,2016-04-28,"e-AM4",0
4702921684,2016-04-28,"f-AM5",6
4702921684,2016-04-28,"g-AM6",744
4702921684,2016-04-28,"h-AM7",174
4702921684,2016-04-28,"i-AM8",107
4702921684,2016-04-28,"j-AM9",1455
4702921684,2016-04-28,"k-AM10",89
4702921684,2016-04-28,"l-AM11",151
4702921684,2016-04-28,"m-PM12",996
